birth year,speed
1960,10.58873633418112
1961,10.581971188099402
1962,10.69392340919361
1963,10.84549720720155
1964,10.901223236362478
1965,10.644587673277064
1966,10.80270778103142
1967,10.876363248550371
1968,10.902490413514846
1969,8.607007394623352
1970,10.939342296556172
1971,11.072766618330473
1972,11.160424379397393
1973,11.029909772557465
1974,11.04769637477975
1975,11.075769232469218
1976,11.099934097011698
1977,11.30263181738924
1978,11.295474524588002
1979,11.416519393337941
1980,11.286332740695808
1981,11.372079259505522
1982,11.377625517630108
1983,11.405688201782448
1984,11.369007021110779
1985,11.407326202421858
1986,11.365222823706368
1987,11.408248369855515
1988,11.378880493210447
1989,11.316029087017123
1990,11.438101200449617
1991,11.353113593805661
1992,11.398837132917878
1993,11.391804306814695
1994,11.401029987039266
1995,11.210618878254909
1996,10.874258732528599
1997,10.487398317561846
1998,10.310075254171037
1999,10.010828183219607
2000,9.436891982436675
